ID;QUERY;CAT;DIFFICULTY
ysqle-yahoo-120-0;$23 million lottery winner forgot;ConQ;1
ysqle-yahoo-479-1;$300k in gold dust found;ConQ;1
ysqle-yahoo-435-2;$425 million jackpot;ConQ;1
ysqle-trec-2011-8-7;(beauty or cosmetic) and laser treatment;ConQ;1
ysqle-trec-2013-132-0;(euro or eurozone) crisis;ConQ;2
esdbpediav2-SemSearch_ES-93;08 toyota tundra;LQ;1
ysqle-yahoo-311-5;145 pounds in kg;ConQ;1
ysqle-trec-2011-57-0;2005 presidential election in egypt;ConQ;1
ysqle-trec-2011-57-1;2005 presidential election in egypt, forgery;ConQ;2
ysqle-trec-2011-57-2;2005 presidential election, egypt, poster cost;ConQ;2
ysqle-trec-2011-58-1;2005 world snooker championship;LQ;1
ysqle-trec-2011-58-0;2005 world snooker championships;LQ;2
ysqle-yahoo-138-0;2013 accord;LQ;2
ysqle-yahoo-138-5;2013 accord sedan;LQ;2
ysqle-yahoo-138-6;2013 accord sedan photos;ConQ;2
ysqle-yahoo-138-1;2013 altima recall;LQ;2
ysqle-yahoo-138-2;2013 altima sedan;LQ;2
ysqle-yahoo-138-12;2013 camry;LQ;2
ysqle-yahoo-138-13;2013 camry redesign;LQ;2
ysqle-yahoo-138-9;2013 equinox;LQ;2
ysqle-yahoo-138-7;2013 kia optima;LQ;2
ysqle-yahoo-138-10;2013 lacrosse buick;LQ;2
ysqle-yahoo-138-16;2013 malibu;LQ;2
ysqle-yahoo-138-17;2013 malibu pictures;LQ;2
ysqle-yahoo-138-18;2013 malibu price;LQ;2
ysqle-yahoo-138-14;2013 mazda cx5;LQ;2
ysqle-yahoo-138-15;2013 mustang;LQ;2
ysqle-yahoo-138-8;2013 rav4;LQ;2
ysqle-yahoo-138-11;2013 taurus;LQ;2
ysqle-yahoo-493-9;2014 nfl mock draft;ConQ;1
ysqle-yahoo-72-2;3riversfcu credit union;LQ;1
ysqle-trec-2012-2-0;403(b) retirement plan;ConQ;2
ysqle-yahoo-438-0;42 years in a coma;ConQ;2
esdbpediav2-SemSearch_ES-1;44 magnum hunting;LQ;1
ysqle-yahoo-502-2;54 main madison nj;LQ;1
ysqle-yahoo-190-0;6am band;LQ;2
ysqle-yahoo-201-1;707 gun shop myrtle beach sc;LQ;1
ysqle-yahoo-509-0;775 area code;ConQ;2
ysqle-yahoo-294-1;aa;LQ;2
ysqle-yahoo-45-1;aarp travel discounts;ConQ;1
ysqle-yahoo-494-3;abc.com;LQ;1
ysqle-yahoo-501-6;actress in girl with the dragon tattoo;CatQ;2
ysqle-yahoo-140-2;adam levine slams;ConQ;1
ysqle-yahoo-494-7;address numerology;ConQ;1
ysqle-yahoo-322-1;adele baby;RQ;2
erd14-TREC-1;adobe indian houses;ConQ;1
ysqle-yahoo-78-4;adobe pdf converter;ConQ;1
ysqle-yahoo-78-6;adobe pdf converter downloads;ConQ;1
ysqle-yahoo-78-10;adobe pdf converter driver;ConQ;1
ysqle-yahoo-78-9;adobe pdf converter free download;ConQ;1
ysqle-yahoo-78-5;adobe pdf converter printer;ConQ;1
ysqle-yahoo-78-11;adobe pdf converter to word;ConQ;1
ysqle-trec-2010-54-0;adopting a dog;ConQ;1
ysqle-trec-2013-78-0;advantages of junk food;ConQ;1
ysqle-yahoo-322-2;adventure time;ConQ, LQ;2
ysqle-yahoo-322-3;adventure time hat;ConQ;2
ysqle-trec-2013-115-0;advice for technology start-up;ConQ;1
ysqle-yahoo-1-4;aetna;LQ;1
ysqle-yahoo-178-0;aetv;LQ;1
ysqle-trec-2010-147-1;afghanistan history;ConQ;2
ysqle-trec-2010-147-0;afghanistan war;ConQ;2
ysqle-trec-2012-59-0;air condition roof;ConQ;1
ysqle-trec-2010-125-1;air travel information;ConQ;1
esdbpediav2-SemSearch_ES-6;air wisconsin;LQ;1
esdbpediav2-SemSearch_ES-7;airsoft glock;ConQ;2
ysqle-trec-2012-39-3;akira kurosawa chinese cinema;ConQ;1
ysqle-trec-2012-39-2;akira kurosawa indian cinema;ConQ;1
ysqle-trec-2012-39-0;akira kurosawa influence;ConQ;1
ysqle-trec-2012-39-1;akira kurosawa influence india;ConQ;1
ysqle-trec-2011-61-0;alan greenspan;LQ;1
ysqle-yahoo-6-6;albany times union;LQ;1
ysqle-trec-2013-38-3;albany university hospital location;ConQ;2
ysqle-trec-2011-52-4;alcohol percent guinnes;ConQ;1
ysqle-yahoo-490-6;all recipes;ConQ;1
ysqle-yahoo-490-7;all recipes lasagna;ConQ;1
ysqle-yahoo-409-0;allspice berries;ConQ;1
ysqle-yahoo-270-0;alternet;LQ;1
ysqle-yahoo-69-0;alumni;ConQ;1
ysqle-yahoo-67-4;always something there to remind me lyrics;ConQ;1
ysqle-yahoo-494-5;amanda bynes;LQ;1
ysqle-yahoo-524-3;amanda bynes google;ConQ;2
ysqle-yahoo-516-22;amazon;LQ;1
ysqle-yahoo-55-0;amazon black friday 2012;ConQ;1
ysqle-yahoo-35-0;amc breaking bad;LQ;1
ysqle-yahoo-513-2;amc stubs promo code;ConQ;1
ysqle-trec-2013-96-0;american coins;ConQ;2
esdbpediav2-SemSearch_ES-9;american embassy nairobi;LQ;1
ysqle-trec-2011-55-4;american girl doll retail price;ConQ;1
ysqle-trec-2011-55-5;american girl doll wiki;ConQ;1
ysqle-trec-2011-55-0;american girl dolls;LQ;2
ysqle-trec-2011-55-3;american girl dolls cost $;ConQ;1
ysqle-trec-2011-55-6;american girl wiki;ConQ;1
ysqle-yahoo-6-5;american hockey league;LQ;1
ysqle-trec-2010-96-0;american standard toilet;ConQ;1
ysqle-yahoo-48-0;amlodipine besylate;LQ;1
ysqle-yahoo-48-1;amlodipine besylate 5mg;LQ;1
ysqle-yahoo-519-4;amox tr-k clv;ConQ;1
ysqle-trec-2011-47-0;amt;LQ;2
ysqle-trec-2011-47-1;amt and tax;ConQ;2
ysqle-trec-2011-47-2;amt and tax and congress;ConQ;2
ysqle-trec-2013-104-0;amt tax irs;ConQ;2
ysqle-yahoo-164-0;anchors resign on air;ConQ;2
ysqle-yahoo-518-2;angel porrino;LQ;1
ysqle-trec-2010-44-1;animated penguin pics;ConQ;1
ysqle-yahoo-243-0;anne hathaway;LQ;1
ysqle-yahoo-240-2;aol;LQ;1
ysqle-yahoo-428-0;aol mail login;ConQ;1
