"ID";"QUERY";"CAT";"DIFFICULTY"
"erd14-TREC-1";"adobe indian houses";"ConQ";1
"erd14-TREC-10";"california franchise tax board";"LQ";1
"erd14-TREC-11";"cass county missouri";"LQ";1
"erd14-TREC-12";"civil right movement";"CatQ";10
"erd14-TREC-13";"condos in florida";"ConQ";2
"erd14-TREC-14";"culpeper national cemetery";"LQ";1
"erd14-TREC-15";"dangers of asbestos";"CatQ";2
"erd14-TREC-16";"designer dog breeds";"CatQ";10
"erd14-TREC-17";"discovery channel store";"LQ";1
"erd14-TREC-18";"dog clean up bags";"ConQ";1
"erd14-TREC-19";"dogs for adoption";"ConQ";1
"erd14-TREC-2";"atypical squamous cells";"ConQ";2
"erd14-TREC-20";"dutchess county tourism";"ConQ";1
"erd14-TREC-21";"earn money at home";"ConQ";1
"erd14-TREC-22";"east ridge high school";"LQ";2
"erd14-TREC-23";"electronic skeet shoot";"ConQ";2
"erd14-TREC-24";"equal opportunity employer";"ConQ";2
"erd14-TREC-25";"er tv show";"LQ";1
"erd14-TREC-26";"fact on uranus";"ConQ";2
"erd14-TREC-27";"fickle creek farm";"LQ";1
"erd14-TREC-28";"french lick resort and casino";"LQ";1
"erd14-TREC-29";"furniture for small spaces";"ConQ";1
"erd14-TREC-3";"battles in the civil war";"CatQ";100
"erd14-TREC-30";"gmat prep classes";"ConQ";2
"erd14-TREC-31";"gs pay rate";"ConQ";2
"erd14-TREC-32";"how to build a fence";"ConQ";1
"erd14-TREC-33";"hp mini 2140";"LQ";2
"erd14-TREC-34";"illinois state tax";"ConQ";2
"erd14-TREC-35";"income tax return online";"ConQ";2
"erd14-TREC-36";"indiana child support";"ConQ";2
"erd14-TREC-37";"indiana state fairgrounds";"ConQ";2
"erd14-TREC-38";"internet phone service";"ConQ";2
"erd14-TREC-39";"interview thank you";"ConQ";2
"erd14-TREC-4";"becoming a paralegal";"ConQ";1
"erd14-TREC-40";"iowa food stamp program";"ConQ";2
"erd14-TREC-41";"jax chemical company";"LQ";1
"erd14-TREC-42";"kansas city mo";"LQ";2
"erd14-TREC-43";"kenmore gas water heater";"ConQ";2
"erd14-TREC-44";"last supper painting";"LQ";2
"erd14-TREC-45";"living in india";"ConQ";2
"erd14-TREC-46";"lower heart rate";"ConQ";1
"erd14-TREC-47";"lymphoma in dogs";"ConQ";2
"erd14-TREC-48";"madam cj walker";"LQ";1
"erd14-TREC-49";"map of brazil";"ConQ";2
"erd14-TREC-5";"best long term care insurance";"ConQ";1
