"ID";"TASK";"QUERY";"CAT";"DIFFICULTY";"MENTION#0";"URL#0";"RELEVANCE#0";"MENTION#1";"URL#1";"RELEVANCE#1";"MENTION#2";"URL#2";"RELEVANCE#2";"MENTION#3";"URL#3";"RELEVANCE#3";"MENTION#4";"URL#4";"RELEVANCE#4";"MENTION#5";"URL#5";"RELEVANCE#5";"MENTION#6";"URL#6";"RELEVANCE#6";"MENTION#7";"URL#7";"RELEVANCE#7";"MENTION#8";"URL#8";"RELEVANCE#8";"MENTION#9";"URL#9";"RELEVANCE#9";;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-120-0";"exer";"$23 million lottery winner forgot";"ConQ";1;"million lottery";"https://en.wikipedia.org/wiki/Million_Lottery";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-120-0";"imer";"$23 million lottery winner forgot";"ConQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-479-1";"exer";"$300k in gold dust found";"ConQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-479-1";"imer";"$300k in gold dust found";"ConQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-435-2";"exer";"$425 million jackpot";"ConQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-435-2";"imer";"$425 million jackpot";"ConQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-trec-2011-8-7";"exer";"beauty or cosmetic and laser treatment";"ConQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-trec-2011-8-7";"imer";"beauty or cosmetic and laser treatment";"ConQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-trec-2013-132-0";"exer";"euro or eurozone crisis";"ConQ";2;"eurozone";"https://en.wikipedia.org/wiki/Eurozone";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-trec-2013-132-0";"imer";"euro or eurozone crisis";"ConQ";2;"euro or eurozone crisis";"https://en.wikipedia.org/wiki/European_debt_crisis";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
