ID;TASK;QUERY;CAT;DIFFICULTY;MENTION#0;URL#0;RELEVANCE#0;MENTION#1;URL#1;RELEVANCE#1;MENTION#2;URL#2;RELEVANCE#2;MENTION#3;URL#3;RELEVANCE#3;MENTION#4;URL#4;RELEVANCE#4;MENTION#5;URL#5;RELEVANCE#5;MENTION#6;URL#6;RELEVANCE#6;MENTION#7;URL#7;RELEVANCE#7;MENTION#8;URL#8;RELEVANCE#8;MENTION#9;URL#9;RELEVANCE#9;;;;;;;;;;;;;;;;;;;;;;;;;;;
ysqle-trec-2013-93-0;exer;black or african-american history month events;ConQ, CatQ, SolEnQ;5;african-american;https://en.wikipedia.org/wiki/African_Americans;2;black or african-american history month;https://en.wikipedia.org/wiki/Black_History_Month;2;black or african-american history month;https://en.wikipedia.org/wiki/Black_History_Month_(song);1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ysqle-trec-2013-93-0;imer;black or african-american history month events;ConQ, CatQ, SolEnQ;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
esdbpediav2-INEX_LD-2012336;exer;1906 territory papua island australian;ConQ;2;territory papua;https://en.wikipedia.org/wiki/Territory_of_Papua;2;papua island;https://en.wikipedia.org/wiki/Papua_Island;1;papua;https://en.wikipedia.org/wiki/Papua_(province);1;australia;https://en.wikipedia.org/wiki/Australia;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
esdbpediav2-INEX_LD-2012336;imer;1906 territory papua island australian;ConQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ysqle-trec-2011-63-2;exer;1990 fisa wiretap applications;CatQ, SolEnQ;5;fisa;https://en.wikipedia.org/wiki/Foreign_Intelligence_Surveillance_Act;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ysqle-trec-2011-63-2;imer;1990 fisa wiretap applications;CatQ, SolEnQ;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
esdbpediav2-INEX_LD-2012319;exer;1994 short story collection alice munro is open;ConQ;4;alice munro;https://en.wikipedia.org/wiki/Alice_Munro;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
esdbpediav2-INEX_LD-2012319;imer;1994 short story collection alice munro is open;ConQ;4;1994 short story collection alice munro;https://en.wikipedia.org/wiki/Selected_Stories;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
esdbpediav2-INEX_LD-2012341;exer;1997 houston airport president;ConQ, SolEnQ;3;houston;https://en.wikipedia.org/wiki/Houston;2;houston;https://en.wikipedia.org/wiki/Houston,_British_Columbia;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
esdbpediav2-INEX_LD-2012341;imer;1997 houston airport president;ConQ, SolEnQ;3;1997 houston airport president;https://en.wikipedia.org/wiki/George_Bush_Intercontinental_Airport;2;houston airport;https://en.wikipedia.org/wiki/William_P._Hobby_Airport;1;houston airport;https://en.wikipedia.org/wiki/Ellington_Airport_(Texas);1;houston airport;https://en.wikipedia.org/wiki/Houston_Aerodrome;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
