ID;QUERY;CAT;DIFFICULTY;INT-ID;REL;EQV;COMMENT;;;;;;;;
ysqle-trec-2013-93-0;black or african-american history month events;ConQ, CatQ, SolEnQ;5;0;3;;;https://en.wikipedia.org/wiki/Black_History_Month;events;;;;;;
ysqle-trec-2013-93-0;black or african-american history month events;ConQ, CatQ, SolEnQ;5;1;1;;;https://en.wikipedia.org/wiki/Black_History_Month_(song);events;;;;;;
ysqle-trec-2013-93-0;black or african-american history month events;ConQ, CatQ, SolEnQ;5;2;2;;;black;or ;https://en.wikipedia.org/wiki/African_Americans;history month;events;;;
esdbpediav2-INEX_LD-2012336;1906 territory papua island australian;ConQ;2;0;3;;;1906;https://en.wikipedia.org/wiki/Territory_of_Papua;island;https://en.wikipedia.org/wiki/Australia;;;;
esdbpediav2-INEX_LD-2012336;1906 territory papua island australian;ConQ;2;1;1;;;1906;territory;https://en.wikipedia.org/wiki/Papua_Island;https://en.wikipedia.org/wiki/Australia;;;;
esdbpediav2-INEX_LD-2012336;1906 territory papua island australian;ConQ;2;2;1;;;1906;territory;https://en.wikipedia.org/wiki/Papua_(province);island;https://en.wikipedia.org/wiki/Australia;;;
ysqle-trec-2011-63-2;1990 fisa wiretap applications;CatQ, SolEnQ;5;0;3;;;1990;https://en.wikipedia.org/wiki/Foreign_Intelligence_Surveillance_Act;wiretap applications;;;;;
esdbpediav2-INEX_LD-2012319;1994 short story collection alice munro is open;ConQ;4;0;3;1;;1994;short story collection;https://en.wikipedia.org/wiki/Alice_Munro;is;open;;;
esdbpediav2-INEX_LD-2012319;1994 short story collection alice munro is open;ConQ;4;1;3;0;;https://en.wikipedia.org/wiki/Selected_Stories;is;open;;;;;
esdbpediav2-INEX_LD-2012341;1997 houston airport president;ConQ, SolEnQ;3;0;3;;;1997;https://en.wikipedia.org/wiki/Houston;airport;president;;;;
esdbpediav2-INEX_LD-2012341;1997 houston airport president;ConQ, SolEnQ;3;1;1;;;1997;https://en.wikipedia.org/wiki/William_P._Hobby_Airport;president;;;;;
esdbpediav2-INEX_LD-2012341;1997 houston airport president;ConQ, SolEnQ;3;2;1;;;1997;https://en.wikipedia.org/wiki/Ellington_Airport_(Texas);president;;;;;
esdbpediav2-INEX_LD-2012341;1997 houston airport president;ConQ, SolEnQ;3;3;1;;;1997;https://en.wikipedia.org/wiki/Houston_Aerodrome;president;;;;;
ysqle-trec-2013-70-3;aids africa charity donate;ConQ;2;0;3;;;aids;https://en.wikipedia.org/wiki/Africa;charity donate;;;;;
ysqle-trec-2013-70-3;aids africa charity donate;ConQ;2;1;1;;;aids;https://en.wikipedia.org/wiki/Africa,_Ohio;charity donate;;;;;
ysqle-trec-2013-70-3;aids africa charity donate;ConQ;2;2;1;;;aids;https://en.wikipedia.org/wiki/Africa,_Indiana;charity donate;;;;;
esdbpediav2-TREC_Entity-12;airlines that air canada has code share flights with;CatQ, SolEnQ;5;0;3;;;airlines;that;https://en.wikipedia.org/wiki/Air_Canada;has;code share flights;with;;
esdbpediav2-TREC_Entity-7;airlines that currently use boeing 747 planes;CatQ, SolEnQ;5;0;3;;;airlines;that;currently;use;https://en.wikipedia.org/wiki/Boeing_747;planes;;
esdbpediav2-INEX_XER-140;airports in germany;CatQ, SolEnQ;5;0;3;;;airports;in;https://en.wikipedia.org/wiki/Germany;;;;;
esdbpediav2-INEX_XER-140;airports in germany;CatQ, SolEnQ;5;1;1;;;airports;in;https://en.wikipedia.org/wiki/Germany,_Indiana;;;;;
esdbpediav2-INEX_XER-140;airports in germany;CatQ, SolEnQ;5;2;1;;;airports;in;https://en.wikipedia.org/wiki/Germany,_Texas;;;;;
esdbpediav2-INEX_XER-64;alan moore graphic novels adapted to film;CatQ, SolEnQ;3;0;3;;;https://en.wikipedia.org/wiki/Alan_Moore;graphic novels;adapted to;film;;;;
esdbpediav2-INEX_LD-2012349;alexander nevsky cathedral bulgarian city liberation turks;ConQ;4;0;3;1;;https://en.wikipedia.org/wiki/Alexander_Nevsky_Cathedral,_Sofia;https://en.wikipedia.org/wiki/Bulgaria;city;liberation;https://en.wikipedia.org/wiki/Turkey;;;
esdbpediav2-INEX_LD-2012349;alexander nevsky cathedral bulgarian city liberation turks;ConQ;4;1;3;0;;https://en.wikipedia.org/wiki/Alexander_Nevsky;cathedral;https://en.wikipedia.org/wiki/Bulgaria;city;liberation;https://en.wikipedia.org/wiki/Turkey;;
esdbpediav2-INEX_LD-2012349;alexander nevsky cathedral bulgarian city liberation turks;ConQ;4;2;2;;;https://en.wikipedia.org/wiki/Sofia;liberation;https://en.wikipedia.org/wiki/Turkey;;;;;
esdbpediav2-INEX_LD-2012377;allegedly caused world war i;ConQ;1;0;3;;;allegedly;caused;https://en.wikipedia.org/wiki/World_War_I;;;;;
esdbpediav2-INEX_LD-2012363;american twins famous american professional tennis double players;ConQ, SolEnQ;2;0;3;;;https://en.wikipedia.org/wiki/United_States;twins;famous;https://en.wikipedia.org/wiki/United_States;professional tennis double players;;;
esdbpediav2-INEX_LD-2012375;animals lay eggs mammals;ConQ;1;0;3;;;animals;lay eggs;mammals;;;;;
esdbpediav2-SemSearch_LS-1;apollo astronauts who walked on the moon;CatQ, SolEnQ;3;0;3;;;https://en.wikipedia.org/wiki/Apollo_program;astronauts;who;walked on the moon;;;;
esdbpediav2-SemSearch_LS-2;arab states of the persian gulf;CatQ, SolEnQ;3;0;3;;;https://en.wikipedia.org/wiki/Arab_world;of the;https://en.wikipedia.org/wiki/Persian_Gulf;;;;;
esdbpediav2-INEX_LD-2012321;asian port city sir stamford raffles;ConQ, SolEnQ;3;0;3;;;https://en.wikipedia.org/wiki/Asia;port city;https://en.wikipedia.org/wiki/Stamford_Raffles;;;;;
esdbpediav2-SemSearch_LS-3;astronauts who landed on the moon;CatQ, SolEnQ;2;0;3;;;astronauts;who;landed on the moon;;;;;
ysqle-trec-2010-119-1;atari consoles;CatQ, SolEnQ;2;0;3;;;https://en.wikipedia.org/wiki/Atari;consoles;;;;;;
ysqle-trec-2010-119-0;atari consoles history;CatQ;2;0;3;1;;https://en.wikipedia.org/wiki/Atari;consoles;history;;;;;
ysqle-trec-2010-119-0;atari consoles history;CatQ;2;1;3;0;;https://en.wikipedia.org/wiki/Atari_2600|https://en.wikipedia.org/wiki/Atari_2700|https://en.wikipedia.org/wiki/Atari_5200|https://en.wikipedia.org/wiki/Atari_7800|https://en.wikipedia.org/wiki/Atari_VCS_(2019_console)|https://en.wikipedia.org/wiki/Atari_Cosmos|https://en.wikipedia.org/wiki/Atari_Flashback|https://en.wikipedia.org/wiki/Atari_Game_Brain|https://en.wikipedia.org/wiki/Atari_Jaguar_CD|https://en.wikipedia.org/wiki/Atari_Jaguar|https://en.wikipedia.org/wiki/Atari_Lynx|https://en.wikipedia.org/wiki/Atari_Panther|https://en.wikipedia.org/wiki/Virtual_Light_Machine|https://en.wikipedia.org/wiki/Atari_XEGS;history;;;;;;
ysqle-trec-2011-65-2;australia female wine makers;CatQ, SolEnQ;5;0;3;;;https://en.wikipedia.org/wiki/Australia;female wine makers;;;;;;
ysqle-trec-2011-65-2;australia female wine makers;CatQ, SolEnQ;5;1;2;;;https://en.wikipedia.org/wiki/Australia,_Cuba;female wine makers;;;;;;
ysqle-trec-2011-65-2;australia female wine makers;CatQ, SolEnQ;5;2;2;;;https://en.wikipedia.org/wiki/Australia,_Mississippi;female wine makers;;;;;;
ysqle-trec-2011-64-2;australia female winemaker;CatQ, SolEnQ;5;0;3;;;https://en.wikipedia.org/wiki/Australia;female winemaker;;;;;;
ysqle-trec-2011-64-2;australia female winemaker;CatQ, SolEnQ;5;1;2;;;https://en.wikipedia.org/wiki/Australia,_Cuba;female winemaker;;;;;;
ysqle-trec-2011-64-2;australia female winemaker;CatQ, SolEnQ;5;2;2;;;https://en.wikipedia.org/wiki/Australia,_Mississippi;female winemaker;;;;;;
ysqle-trec-2011-65-3;australia wine;CatQ, SolEnQ;5;0;3;;;https://en.wikipedia.org/wiki/Australia;wine;;;;;;
ysqle-trec-2011-65-3;australia wine;CatQ, SolEnQ;5;1;2;;;https://en.wikipedia.org/wiki/Australia,_Cuba;wine;;;;;;
