ID;TASK;QUERY;CAT;DIFFICULTY;MENTION#0;URL#0;RELEVANCE#0;MENTION#1;URL#1;RELEVANCE#1;MENTION#2;URL#2;RELEVANCE#2;MENTION#3;URL#3;RELEVANCE#3;MENTION#4;URL#4;RELEVANCE#4;MENTION#5;URL#5;RELEVANCE#5;MENTION#6;URL#6;RELEVANCE#6;MENTION#7;URL#7;RELEVANCE#7;MENTION#8;URL#8;RELEVANCE#8;MENTION#9;URL#9;RELEVANCE#9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-001;exer;new york times square dance;ConQ;2;new york times;https://en.wikipedia.org/wiki/The_New_York_Times;2;new york;https://en.wikipedia.org/wiki/New_York_City;2;new york;https://en.wikipedia.org/wiki/New_York_(state);1;times square;https://en.wikipedia.org/wiki/Times_Square;2;square dance;https://en.wikipedia.org/wiki/Square_Dance_(ballet);1;square dance;https://en.wikipedia.org/wiki/Square_Dance_(film);2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-001;imer;new york times square dance;ConQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-002;exer;skyline drive in west virginia;ConQ, LQ;2;skyline drive;https://en.wikipedia.org/wiki/Skyline_Drive;2;west virginia;https://en.wikipedia.org/wiki/West_Virginia;2;virginia;https://en.wikipedia.org/wiki/Virginia;2;skyline drive in;http://cinematreasures.org/theaters/58183;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-002;imer;skyline drive in west virginia;ConQ, LQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-003;exer;elton john wayne rooney;ConQ;2;elton john;https://en.wikipedia.org/wiki/Elton_John;2;elton john;https://en.wikipedia.org/wiki/Elton_John_(footballer);1;john wayne;https://en.wikipedia.org/wiki/John_Wayne;2;wayne rooney;https://en.wikipedia.org/wiki/Wayne_Rooney;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-003;imer;elton john wayne rooney;ConQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-004;exer;frank zappa mother;ConQ, RQ;3;frank zappa;https://en.wikipedia.org/wiki/Frank_Zappa;2;mother;https://en.wikipedia.org/wiki/The_Mothers_of_Invention;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-004;imer;frank zappa mother;ConQ, RQ;3;mother;http://wiki.killuglyradio.com/wiki/Rose_Marie_Zappa;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-005;exer;big data problem;ConQ;2;big data;https://en.wikipedia.org/wiki/Big_Data_(band);1;data;https://en.wikipedia.org/wiki/DATA_(band);1;big data;https://en.wikipedia.org/wiki/Big_data;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-005;imer;big data problem;ConQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
