ID;QUERY;CAT;DIFFICULTY;INT-ID;REL;EQV;COMMENT;;;;;;
webis-001;new york times square dance;ConQ;2;0;3;;Articles mentioning dance and square in the New York Times newspaper;https://en.wikipedia.org/wiki/The_New_York_Times;square dance;;;;
webis-001;new york times square dance;ConQ;2;1;3;2;Dance happening in Times Square in New York City;https://en.wikipedia.org/wiki/New_York_City;https://en.wikipedia.org/wiki/Times_Square;dance;;;
webis-001;new york times square dance;ConQ;2;2;2;1;Dance happening in Times Square in New York state;https://en.wikipedia.org/wiki/New_York_(state);https://en.wikipedia.org/wiki/Times_Square;dance;;;
webis-001;new york times square dance;ConQ;2;3;2;;Articles about the folk dance Square Dance in the New York Times newspaper;https://en.wikipedia.org/wiki/The_New_York_Times;https://en.wikipedia.org/wiki/Square_Dance_(ballet);;;;
webis-001;new york times square dance;ConQ;2;4;2;;Number of times Square Dance was performed in New York City;https://en.wikipedia.org/wiki/New_York_City;times;https://en.wikipedia.org/wiki/Square_Dance_(ballet);;;
webis-001;new york times square dance;ConQ;2;5;1;;Number of times Square Dance was performed in New York state;https://en.wikipedia.org/wiki/New_York_(state);times;https://en.wikipedia.org/wiki/Square_Dance_(ballet);;;
webis-001;new york times square dance;ConQ;2;6;1;;Article mentioning Square Dance film in the New York Times newspaper;https://en.wikipedia.org/wiki/The_New_York_Times;https://en.wikipedia.org/wiki/Square_Dance_(film);;;;
webis-001;new york times square dance;ConQ;2;7;1;;Number of times Square Dance film was played in New York City;https://en.wikipedia.org/wiki/New_York_City;times;https://en.wikipedia.org/wiki/Square_Dance_(film);;;
webis-001;new york times square dance;ConQ;2;8;1;;Number of times Square Dance film was played in New York state;https://en.wikipedia.org/wiki/New_York_(state);times;https://en.wikipedia.org/wiki/Square_Dance_(film);;;
webis-002;skyline drive in west virginia;ConQ, LQ;2;0;3;;The Skyline Drive road passing through West Virginia;https://en.wikipedia.org/wiki/Skyline_Drive;in;https://en.wikipedia.org/wiki/West_Virginia;;;
webis-002;skyline drive in west virginia;ConQ, LQ;2;1;2;;The Skyline Drive-in theatre in West Virginia;http://cinematreasures.org/theaters/58183;https://en.wikipedia.org/wiki/West_Virginia;;;;
webis-003;elton john wayne rooney;ConQ;2;0;3;;Elton John the singer with Wayne Rooney the footballer;https://en.wikipedia.org/wiki/Elton_John;https://en.wikipedia.org/wiki/Wayne_Rooney;;;;
webis-003;elton john wayne rooney;ConQ;2;1;2;;Elton John the footballer and Wayne Rooney the footballer meeting or playing in a football match;https://en.wikipedia.org/wiki/Elton_John_(footballer);https://en.wikipedia.org/wiki/Wayne_Rooney;;;;
webis-003;elton john wayne rooney;ConQ;2;2;1;;John Wayne the actor with people named Elton and Rooney;elton;https://en.wikipedia.org/wiki/John_Wayne;rooney;;;
